2025-12-06 23:32:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:53 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:53 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:53] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:53 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:53 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:53] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:56] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:56 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:56] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:56 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:56] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:57 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:57 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:57] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:57 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:57 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:57] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:57 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:57 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:57] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:57 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:57 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:57] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:57 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:57 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:57] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:38 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:38] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:38 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:38 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:38] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:38 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:38 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:38] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:39 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:39 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:39] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:39 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:39 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:39] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:40 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:40 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:40] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:40 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:40 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:40] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:40 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:40 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:40] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:41 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:41 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:41] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:41 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:41 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:41] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:42 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:42 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:42] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:42 | root       | INFO     |app.py:57 | Translate successfully
